layer,layer_idx,within_image_mean_cosine,within_image_std_cosine,across_image_mean_cosine,across_image_std_cosine,n_within_pairs,n_across_pairs
low,2,0.5333036184310913,0.10636589676141739,0.7983049154281616,0.05081058666110039,706602,2489744895
middle,6,0.604611337184906,0.10284631699323654,0.837070882320404,0.04684765264391899,706602,2489744895
top,12,0.18923154473304749,0.21130487322807312,0.3009132146835327,0.1309770941734314,706602,2489744895
