layer,layer_idx,within_image_mean_cosine,within_image_std_cosine,across_image_mean_cosine,across_image_std_cosine,n_within_pairs,n_across_pairs
low,2,0.5123234987258911,0.1093415915966034,0.791283369064331,0.049544308334589005,706602,2489744895
middle,6,0.596124529838562,0.114669568836689,0.8408250212669373,0.046532973647117615,706602,2489744895
top,12,0.17259831726551056,0.1940508484840393,0.29441210627555847,0.1276898980140686,706602,2489744895
