layer,layer_idx,within_image_mean_cosine,within_image_std_cosine,across_image_mean_cosine,across_image_std_cosine,n_within_pairs,n_across_pairs
low,2,0.999812126159668,0.00034091281122528017,0.999921977519989,2.1452435248647816e-05,706602,49995000
middle,14,0.9972601532936096,0.0022323518060147762,0.9982333183288574,0.0005545749445445836,706602,49995000
top,27,0.9766025543212891,0.013876141980290413,0.9797669649124146,0.005636951420456171,706602,49995000
